,index,0,,
0,C13,57.88221516,,SUGAR INDUSTRY
1,F27,50.39157285,,FURNACES; KILNS; OVENS; RETORTS
2,F22,45.39534871,,STEAM GENERATION
3,B24,38.7440921,,GRINDING; POLISHING
4,G21,36.76347264,,NUCLEAR PHYSICS; NUCLEAR ENGINEERING
5,Y04,34.54172432,,INFORMATION OR COMMUNICATION TECHNOLOGIES HAVING AN IMPACT ON OTHER TECHNOLOGY AREAS
6,C14,34.14795039,,SKINS; HIDES; PELTS; LEATHER
7,B81,34.10830516,,MICROSTRUCTURAL TECHNOLOGY
8,F23,34.03156898,,COMBUSTION APPARATUS; COMBUSTION PROCESSES
9,F21,33.43987108,,LIGHTING
10,D07,30.63709722,,ROPES; CABLES OTHER THAN ELECTRIC
11,H05,30.20040672,,ELECTRIC TECHNIQUES NOT OTHERWISE PROVIDED FOR
12,B05,29.62269032,,"SPRAYING OR ATOMISING IN GENERAL; APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
13,G04,28.09207107,,HOROLOGY
14,B23,27.28019587,,
15,F01,27.25824316,,
16,F25,26.4229877,,
17,E02,25.86178907,,
18,F02,25.32558855,,
19,E01,25.27648982,,
20,F26,24.7743692,,
21,G08,24.5020038,,
22,F04,24.46124948,,
23,B06,24.26600771,,
24,H02,24.01155641,,
25,B63,23.81621156,,
26,C25,23.7180183,,
27,F28,23.42249728,,
28,F16,23.23157424,,
29,Y02,23.02297885,,
30,C03,22.3256188,,
31,E05,22.14371371,,
32,C30,21.95969276,,
33,F41,21.50232468,,
34,E21,21.11859894,,
35,E04,20.99976172,,
36,F17,20.8178144,,
37,E03,20.68715352,,
38,C09,20.58425218,,
39,C23,20.53780066,,
40,C21,20.3521061,,
41,E06,20.2707851,,
42,C01,20.26513801,,
43,C10,20.10439689,,
44,G02,19.80221792,,
45,F24,19.67955975,,
46,C22,19.66811328,,
47,A45,19.59693777,,
48,B26,19.59666776,,
49,B32,19.07922921,,
50,G05,18.80300338,,
51,B42,18.78317676,,
52,A01,18.69312509,,
53,C04,18.66115442,,
54,B64,18.62555106,,
55,A42,18.49986012,,
56,F15,18.49786636,,
57,B65,18.26056628,,
58,H03,18.22413354,,
59,B60,18.02236881,,
60,A44,17.95981216,,
61,A47,17.94437699,,
62,B61,17.81652803,,
63,C08,17.7128873,,
64,F05,17.23189086,,
65,A63,16.89672402,,
66,B01,16.79263029,,
67,B66,16.6021627,,
68,H01,16.22302096,,
69,B21,15.9352338,,
70,G01,15.8739675,,
71,C05,15.16174082,,
72,H04,14.89046547,,
73,B03,14.80608301,,
74,A22,14.7835391,,
75,C12,14.51320905,,
76,A41,14.24437882,,
77,G09,14.10944799,,
78,B30,14.00537738,,
79,B08,13.87885628,,
80,A24,13.82985127,,
81,B62,13.75693832,,
82,A43,13.07406536,,
83,B02,12.74018671,,
84,D06,12.5703759,,
85,C06,12.20164463,,
86,C07,12.16618936,,
87,B28,12.02988237,,
88,C02,11.96236269,,
89,B09,11.40088328,,
90,B29,11.02663415,,
91,G10,10.48530694,,
92,A46,10.41418241,,
93,G07,10.03159923,,
94,G03,9.785943535,,
95,D10,9.720491352,,
96,A21,9.610771879,,
97,A61,9.352929835,,
98,B07,9.226937965,,
99,A23,9.124276731,,
100,D21,9.035375838,,
101,C11,9.019937033,,
102,B25,8.890297726,,
103,B67,8.4086943,,
104,G06,7.812225825,,
105,B68,7.182425644,,
106,D03,7.045522025,,
107,F03,5.993989911,,
108,A62,5.663959858,,
109,F42,5.579856337,,
110,B44,5.410940324,,
111,B31,5.408095988,,
112,D04,5.081010745,,
113,B22,4.665692031,,
114,B43,4.327114679,,
115,D01,4.262326811,,
116,B41,3.696773472,,
117,D02,2.492722848,,
118,G16,1.998992209,,
119,B27,1.022838679,,
120,D05,-3.564047234,,
121,C40,-4.220142021,,
122,B04,-5.067763255,,
123,G11,-5.128972369,,
124,B33,-6.822707191,,
125,G12,-17.30691292,,
126,B82,-24.71577776,,
